_id,id_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,desc_situacion_local,Nombre,desc_periodo_terraza,desc_situacion_terraza,DESC_CLASE,DESC_NOMBRE,desc_ubicacion_terraza
1376,280011287,CENTRO              ,UNIVERSIDAD         ,CALLE                   ,Abierto,MICRO TEATRO POR DINERO,Anual,Abierta,CALLE                   ,LORETO Y CHICOTE                                  ,Calle peatonal
1377,10003144,CENTRO              ,CORTES              ,PLAZA                   ,Abierto,TAPA TAPA,Anual,Abierta,PLAZA                   ,SANTA ANA                                         ,Plaza con bandas permanentes de circulaci? rodada
1378,270413827,CENTRO              ,JUSTICIA            ,CALLE                   ,Abierto,CASA GRANA,Estacional,Abierta,CALLE                   ,ORELLANA                                          ,Acera
1379,270331418,CENTRO              ,JUSTICIA            ,CALLE                   ,Abierto,VIENA CAPELLANES,Anual,Abierta,CALLE                   ,GENOVA                                            ,Acera
1380,270444365,CENTRO              ,PALACIO             ,PLAZA                   ,Abierto,LA TRAVIATA                                       ,Anual,Abierta,PLAZA                   ,ISABEL II                                         ,Acera
1381,280008511,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,RESTAURANTE BEIRUT,Estacional,Abierta,CALLE                   ,MIGUEL SERVET                                     ,Acera
1382,270446647,CENTRO              ,PALACIO             ,PLAZA                   ,Abierto,BAR RESTAURANTE LA MURALLA II,Anual,Abierta,PLAZA                   ,PUERTA DE MOROS                                   ,Plaza peatonal
1383,280011104,CENTRO              ,UNIVERSIDAD         ,CALLE                   ,Abierto,BAR ESTEBAN,Anual,Abierta,PLAZA                   ,SANTA MARIA SOLEDAD TORRES ACOSTA                 ,Plaza peatonal
1384,270476432,CENTRO              ,SOL                 ,CALLE                   ,Abierto,CERVECERIA RESTAURANTE DO?A JUANA,Anual,Abierta,CALLE                   ,NAVAS DE TOLOSA                                   ,Calle peatonal
1386,270358822,CENTRO              ,PALACIO             ,CALLE                   ,Abierto,CAFE BAR EL HECHIZADO,Anual,Abierta,COSTANILLA              ,NUNCIO                                            ,Calle peatonal
1387,280012091,CENTRO              ,PALACIO             ,TRAVESIA                ,Abierto,LA MORDIDA,Anual,Abierta,TRAVESIA                ,CONDE                                             ,Calle peatonal
1388,280010978,CENTRO              ,UNIVERSIDAD         ,CALLE                   ,Abierto,RESTAURANTE LA CANELA,Anual,Abierta,CALLE                   ,CRISTO                                            ,Calle peatonal
1389,280007426,CENTRO              ,PALACIO             ,COSTANILLA              ,Abierto,LA COSTANILLA,Anual,Abierta,CALLE                   ,BONETILLO                                         ,Calle peatonal
1390,285002192,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,INDIAN RESTAURANT SONALI,Anual,Abierta,CALLE                   ,LAVAPIES                                          ,Otros
1391,280007642,CENTRO              ,PALACIO             ,PLAZA                   ,Abierto,CASA ANTONIO,Anual,Abierta,PLAZA                   ,CEBADA                                            ,Plaza peatonal
