Pais;Mes;Casos;Muertes;PIB;GastoSaludEstado;Poblacion;PorcentajeCasos;PorcentajeMuertes;PorcentajeGastoSalud
Bangladesh;9;51221;971;373902.1347;1642.07055;163046173;0.00031415;5.95537E-06;0.004391712
Bangladesh;10;44321;686;373902.1347;1642.07055;163046173;0.000271831;4.2074E-06;0.004391712
Bangladesh;11;56043;704;373902.1347;1642.07055;163046173;0.000343725;4.3178E-06;0.004391712
Bangladesh;12;28126;443;373902.1347;1642.07055;163046173;0.000172503;2.71702E-06;0.004391712
Barbados;3;34;0;4671.8;171.9361891;287021;0.000118458;0;0.036802986
Barbados;4;46;7;4671.8;171.9361891;287021;0.000160267;2.43885E-05;0.036802986
Barbados;5;12;0;4671.8;171.9361891;287021;4.18088E-05;0;0.036802986
Barbados;6;5;0;4671.8;171.9361891;287021;1.74203E-05;0;0.036802986
Barbados;7;13;0;4671.8;171.9361891;287021;4.52929E-05;0;0.036802986
Barbados;8;63;0;4671.8;171.9361891;287021;0.000219496;0;0.036802986
Barbados;9;17;0;4671.8;171.9361891;287021;5.92291E-05;0;0.036802986
Barbados;10;46;0;4671.8;171.9361891;287021;0.000160267;0;0.036802986
Barbados;11;39;0;4671.8;171.9361891;287021;0.000135879;0;0.036802986
Barbados;12;17;0;4671.8;171.9361891;287021;5.92291E-05;0;0.036802986
Belarus;1;0;0;61371.12641;2578.029182;9452409;0;0;0.0420072
Belarus;2;1;0;61371.12641;2578.029182;9452409;1.05793E-07;0;0.0420072
Belarus;3;104;0;61371.12641;2578.029182;9452409;1.10025E-05;0;0.0420072
Belarus;4;13076;84;61371.12641;2578.029182;9452409;0.001383351;8.88662E-06;0.0420072
Belarus;5;28477;145;61371.12641;2578.029182;9452409;0.003012671;1.534E-05;0.0420072
Belarus;6;20132;158;61371.12641;2578.029182;9452409;0.002129827;1.67153E-05;0.0420072
Belarus;7;5875;166;61371.12641;2578.029182;9452409;0.000621535;1.75617E-05;0.0420072
Belarus;8;4022;123;61371.12641;2578.029182;9452409;0.0004255;1.30126E-05;0.0420072
Belarus;9;6573;152;61371.12641;2578.029182;9452409;0.000695378;1.60806E-05;0.0420072
Belarus;10;19239;149;61371.12641;2578.029182;9452409;0.002035354;1.57632E-05;0.0420072
Belarus;11;37509;174;61371.12641;2578.029182;9452409;0.003968195;1.8408E-05;0.0420072
Belarus;12;25287;112;61371.12641;2578.029182;9452409;0.002675191;1.18488E-05;0.0420072
Belgium;1;0;0;525211.8107;48581.06955;11455519;0;0;0.092498052
Belgium;2;1;0;525211.8107;48581.06955;11455519;8.72942E-08;0;0.092498052
Belgium;3;15303;1170;525211.8107;48581.06955;11455519;0.001335863;0.000102134;0.092498052
Belgium;4;34666;6609;525211.8107;48581.06955;11455519;0.00302614;0.000576927;0.092498052
Belgium;5;8978;1576;525211.8107;48581.06955;11455519;0.000783727;0.000137576;0.092498052
